,region,population,area,living area,bad conditions,no funds,area,area,area,area,area,area,area,area,area,area,area
0,Алтайский край,2317153,167996,18.0,0.3,0.8642000000000001,167996,167996,167996,167996,167996,167996,167996,167996,167996,167996,167996
1,Амурская область,790044,361908,17.3,1.3,1.0731,361908,361908,361908,361908,361908,361908,361908,361908,361908,361908,361908
2,Архангельская область без Ненецкого АО,1092424,413103,16.9,1.4,1.2998,413103,413103,413103,413103,413103,413103,413103,413103,413103,413103,413103
3,Астраханская область,1005782,49024,19.2,0.8,2.9028,49024,49024,49024,49024,49024,49024,49024,49024,49024,49024,49024
4,Белгородская область,1549151,27134,17.8,0.7,0.384,27134,27134,27134,27134,27134,27134,27134,27134,27134,27134,27134
5,Брянская область,1192491,34857,24.1,0.1,0.0,34857,34857,34857,34857,34857,34857,34857,34857,34857,34857,34857
6,Владимирская область,1358416,29084,16.1,0.2,0.153,29084,29084,29084,29084,29084,29084,29084,29084,29084,29084,29084
7,Волгоградская область,2491036,112877,17.9,1.0,0.3993,112877,112877,112877,112877,112877,112877,112877,112877,112877,112877,112877
8,Вологодская область,1160445,144527,16.9,1.1,0.7072,144527,144527,144527,144527,144527,144527,144527,144527,144527,144527,144527
9,Воронежская область,2324205,52216,19.9,0.9,0.5680000000000001,52216,52216,52216,52216,52216,52216,52216,52216,52216,52216,52216
10,Еврейская автономная область,158305,36271,13.8,0.9,0.0,36271,36271,36271,36271,36271,36271,36271,36271,36271,36271,36271
11,Забайкальский край,1059700,431892,17.1,1.8,1.5903,431892,431892,431892,431892,431892,431892,431892,431892,431892,431892,431892
12,Ивановская область,997135,21437,18.1,1.5,0.5360000000000001,21437,21437,21437,21437,21437,21437,21437,21437,21437,21437,21437
13,Иркутская область,2391193,774846,16.3,1.6,1.9608,774846,774846,774846,774846,774846,774846,774846,774846,774846,774846,774846
14,Кабардино-Балкарская Республика,868350,12470,18.9,0.5,0.0,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470,12470
15,Калининградская область,1012512,15125,15.6,1.9,0.0,15125,15125,15125,15125,15125,15125,15125,15125,15125,15125,15125
16,Калужская область,1002575,29777,15.5,0.2,0.0,29777,29777,29777,29777,29777,29777,29777,29777,29777,29777,29777
17,Камчатский край,313016,464275,15.9,3.0,4.466,464275,464275,464275,464275,464275,464275,464275,464275,464275,464275,464275
18,Карачаево-Черкесская Республика,465528,14277,18.3,2.6,1.9829,14277,14277,14277,14277,14277,14277,14277,14277,14277,14277,14277
19,Кемеровская область,2657854,95725,16.3,1.0,0.5085000000000001,95725,95725,95725,95725,95725,95725,95725,95725,95725,95725,95725
20,Кировская область,1262402,120374,14.9,2.5,0.9234000000000001,120374,120374,120374,120374,120374,120374,120374,120374,120374,120374,120374
21,Костромская область,633385,60211,14.5,1.5,0.0,60211,60211,60211,60211,60211,60211,60211,60211,60211,60211,60211
22,Краснодарский край,5675462,75485,18.1,1.2,0.7852,75485,75485,75485,75485,75485,75485,75485,75485,75485,75485,75485
23,Красноярский край,2866255,2366797,16.6,1.8,1.2567,2366797,2366797,2366797,2366797,2366797,2366797,2366797,2366797,2366797,2366797,2366797
24,Курганская область,827166,71488,16.7,3.2,0.1305,71488,71488,71488,71488,71488,71488,71488,71488,71488,71488,71488
25,Курская область,1104008,29997,17.1,0.6,0.7636000000000001,29997,29997,29997,29997,29997,29997,29997,29997,29997,29997,29997
26,Ленинградская область,1875872,83908,17.0,3.0,3.8308,83908,83908,83908,83908,83908,83908,83908,83908,83908,83908,83908
27,Липецкая область,1139371,24047,16.5,0.2,0.6077,24047,24047,24047,24047,24047,24047,24047,24047,24047,24047,24047
28,Магаданская область,140149,462464,13.8,0.2,0.0,462464,462464,462464,462464,462464,462464,462464,462464,462464,462464,462464
29,Москва,12678079,2561,13.8,0.5,4.096,2561,2561,2561,2561,2561,2561,2561,2561,2561,2561,2561
30,Московская область,7690863,44329,14.8,1.0,0.9569999999999999,44329,44329,44329,44329,44329,44329,44329,44329,44329,44329,44329
31,Мурманская область,741404,144902,17.7,2.4,1.8483,144902,144902,144902,144902,144902,144902,144902,144902,144902,144902,144902
32,Ненецкий автономный округ,44111,176810,20.9,5.9,0.0,176810,176810,176810,176810,176810,176810,176810,176810,176810,176810,176810
33,Нижегородская область,3202946,76624,17.5,0.5,0.1672,76624,76624,76624,76624,76624,76624,76624,76624,76624,76624,76624
34,Новгородская область,596508,54501,17.6,0.4,0.0,54501,54501,54501,54501,54501,54501,54501,54501,54501,54501,54501
35,Новосибирская область,2798170,177756,16.3,1.8,1.368,177756,177756,177756,177756,177756,177756,177756,177756,177756,177756,177756
36,Омская область,1926665,141140,16.9,0.8,0.2718,141140,141140,141140,141140,141140,141140,141140,141140,141140,141140,141140
37,Оренбургская область,1956835,123702,19.0,1.8,1.273,123702,123702,123702,123702,123702,123702,123702,123702,123702,123702,123702
38,Орловская область,733498,24652,18.8,1.4,0.0,24652,24652,24652,24652,24652,24652,24652,24652,24652,24652,24652
39,Пензенская область,1305563,43352,16.9,0.2,0.0,43352,43352,43352,43352,43352,43352,43352,43352,43352,43352,43352
40,Пермский край,2599260,160236,16.0,1.5,2.310299999999999,160236,160236,160236,160236,160236,160236,160236,160236,160236,160236,160236
41,Приморский край,1895868,164673,15.7,2.4,1.8796,164673,164673,164673,164673,164673,164673,164673,164673,164673,164673,164673
42,Псковская область,626115,55399,15.0,0.1,0.0,55399,55399,55399,55399,55399,55399,55399,55399,55399,55399,55399
43,Республика Адыгея,463088,7792,19.6,3.5,0.0,7792,7792,7792,7792,7792,7792,7792,7792,7792,7792,7792
44,Республика Алтай,220181,92903,14.4,4.8,0.4675999999999998,92903,92903,92903,92903,92903,92903,92903,92903,92903,92903,92903
45,Республика Башкортостан,4038151,142947,17.4,0.5,0.9912000000000001,142947,142947,142947,142947,142947,142947,142947,142947,142947,142947,142947
46,Республика Бурятия,985937,351334,17.2,3.2,2.112,351334,351334,351334,351334,351334,351334,351334,351334,351334,351334,351334
47,Республика Дагестан,3110858,50270,22.5,0.8,1.2,50270,50270,50270,50270,50270,50270,50270,50270,50270,50270,50270
48,Республика Ингушетия,507061,3123,27.8,0.0,0.0,3123,3123,3123,3123,3123,3123,3123,3123,3123,3123,3123
49,Республика Калмыкия,271135,74731,20.2,0.0,0.0,74731,74731,74731,74731,74731,74731,74731,74731,74731,74731,74731
50,Республика Карелия,614064,180520,17.1,3.4,4.6805,180520,180520,180520,180520,180520,180520,180520,180520,180520,180520,180520
51,Республика Коми,820473,416774,15.5,8.8,6.588600000000001,416774,416774,416774,416774,416774,416774,416774,416774,416774,416774,416774
52,Республика Крым,1912622,26081,19.0,0.7,0.23,26081,26081,26081,26081,26081,26081,26081,26081,26081,26081,26081
53,Республика Марий Эл,679417,23375,16.5,1.8,1.8518,23375,23375,23375,23375,23375,23375,23375,23375,23375,23375,23375
54,Республика Мордовия,790197,26128,20.0,0.1,0.0,26128,26128,26128,26128,26128,26128,26128,26128,26128,26128,26128
55,Республика Саха (Якутия),971996,3083523,16.5,5.2,1.935,3083523,3083523,3083523,3083523,3083523,3083523,3083523,3083523,3083523,3083523,3083523
56,Республика Северная Осетия-Алания,696837,7987,16.4,2.6,0.0,7987,7987,7987,7987,7987,7987,7987,7987,7987,7987,7987
57,Республика Татарстан,3902888,67847,16.2,0.7,2.175,67847,67847,67847,67847,67847,67847,67847,67847,67847,67847,67847
58,Республика Тыва,327383,168604,13.6,8.5,6.374400000000001,168604,168604,168604,168604,168604,168604,168604,168604,168604,168604,168604
59,Республика Хакасия,534262,61569,17.9,1.0,0.0,61569,61569,61569,61569,61569,61569,61569,61569,61569,61569,61569
60,Ростовская область,4197821,100967,18.2,0.8,0.8280000000000001,100967,100967,100967,100967,100967,100967,100967,100967,100967,100967,100967
61,Рязанская область,1108847,39605,19.0,0.3,0.138,39605,39605,39605,39605,39605,39605,39605,39605,39605,39605,39605
62,Самарская область,3179532,53565,16.9,0.8,0.71,53565,53565,53565,53565,53565,53565,53565,53565,53565,53565,53565
63,Санкт-Петербург,5398064,1403,15.7,0.1,0.4815,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403,1403
64,Саратовская область,2421895,101240,17.8,2.2,0.4921000000000001,101240,101240,101240,101240,101240,101240,101240,101240,101240,101240,101240
65,Сахалинская область,488257,87101,17.2,0.6,0.0,87101,87101,87101,87101,87101,87101,87101,87101,87101,87101,87101
66,Свердловская область,4310681,194307,15.8,0.9,0.7248,194307,194307,194307,194307,194307,194307,194307,194307,194307,194307,194307
67,Севастополь,449138,864,13.7,1.2,0.0,864,864,864,864,864,864,864,864,864,864,864
68,Смоленская область,934889,49779,19.4,2.8,0.0,49779,49779,49779,49779,49779,49779,49779,49779,49779,49779,49779
69,Ставропольский край,2803573,66160,19.0,0.9,0.2916000000000001,66160,66160,66160,66160,66160,66160,66160,66160,66160,66160,66160
70,Тамбовская область,1006748,34462,19.7,0.6,1.0404,34462,34462,34462,34462,34462,34462,34462,34462,34462,34462,34462
71,Тверская область,1260379,84201,17.5,2.2,1.8876,84201,84201,84201,84201,84201,84201,84201,84201,84201,84201,84201
72,Томская область,1079271,314391,16.9,1.9,0.6299999999999999,314391,314391,314391,314391,314391,314391,314391,314391,314391,314391,314391
73,Тульская область,1466127,25679,16.6,0.8,0.0,25679,25679,25679,25679,25679,25679,25679,25679,25679,25679,25679
74,Тюменская область без округов,1537416,1464173,18.1,3.3,5.5188,1464173,1464173,1464173,1464173,1464173,1464173,1464173,1464173,1464173,1464173,1464173
75,Удмуртская Республика,1500955,42061,14.8,1.9,1.3152,42061,42061,42061,42061,42061,42061,42061,42061,42061,42061,42061
76,Ульяновская область,1229824,37181,17.9,1.0,0.3036,37181,37181,37181,37181,37181,37181,37181,37181,37181,37181,37181
77,Хабаровский край,1315643,787633,15.4,1.2,0.532,787633,787633,787633,787633,787633,787633,787633,787633,787633,787633,787633
78,Ханты-Мансийский автономный округ - Югра,1674676,534801,13.9,2.8,5.8128,534801,534801,534801,534801,534801,534801,534801,534801,534801,534801,534801
79,Челябинская область,3466369,88529,16.0,0.8,0.525,88529,88529,88529,88529,88529,88529,88529,88529,88529,88529,88529
80,Чеченская Республика,1478726,16171,19.2,0.6,0.5539,16171,16171,16171,16171,16171,16171,16171,16171,16171,16171,16171
81,Чувашская Республика,1217818,18343,14.2,1.2,1.8768,18343,18343,18343,18343,18343,18343,18343,18343,18343,18343,18343
82,Чукотский автономный округ,50288,721481,14.1,1.9,0.0,721481,721481,721481,721481,721481,721481,721481,721481,721481,721481,721481
83,Ямало-Ненецкий автономный округ,544444,769250,15.5,1.7,5.0091,769250,769250,769250,769250,769250,769250,769250,769250,769250,769250,769250
84,Ярославская область,1253389,36177,15.8,0.5,0.0,36177,36177,36177,36177,36177,36177,36177,36177,36177,36177,36177
